EHF0523-006s	0.1906
EHF0523-007s	0.2865
EHF0523-008s	0.2405
EHF0523-009s	0.2162
EHF0523-010s	0.1936
EHF0523-011s	0.2342
EHF0523-012s	0.3868
EHF0523-013s	0.2023
EHF0523-014s	0.3306
EHF0523-015s	0.2689
EHF0523-016s	0.2407
EHF0523-017s	0.1811
EHF0523-018s	0.2187
EHF0523-019s	0.1910
EHF0523-020s	0.2781
EHF0523-021s	0.3085
EHF0523-022s	0.2472
EHF0523-023s	0.2639
EHF0523-024s	0.1904
EHF0523-025s	0.3472
EHF0523-026s	0.3086
EHF0523-027s	0.1897
EHF0523-028s	0.1984
EHF0523-029s	0.2489
EHF0523-030s	0.3276
EHF0523-031s	0.2156
EHF0523-032s	0.3412
EHF0523-033s	0.4935
EHF0523-034s	0.2051
EHF0523-035s	0.3083
EHF0523-036s	0.1388
EHF0523-037s	0.4061
EHF0523-038s	0.1786
EHF0523-039s	0.2172
EHF0523-040s	0.2094
EHF0523-041s	0.2046
EHF0523-042s	0.2594
EHF0523-043s	0.2211
EHF0523-044s	0.2183
EHF0523-045s	0.2331
EHF0523-046s	0.2547
EHF0523-047s	0.2205
EHF0523-048s	0.2483
EHF0523-050s	0.2116
EHF23a-10	0.1917
EHF23a-11	0.2966
EHF23a-12	0.4223
EHF23a-13	0.1513
EHF23a-14	0.1786
EHF23a-15	0.4758
EHF23a-16	0.1973
EHF23a-17	0.3148
EHF23a-18	0.1421
EHF23a-19	0.2095
EHF23a-20	0.3204
EHF23a-21	0.3032
EHF23a-22	0.3561
EHF23a-23	0.2188
EHF23a-24	0.2196
EHF23a-25	0.3267
EHF23a-26	0.2885
EHF23a-27	0.2164
EHF23a-28	0.2496
EHF23a-29	0.3801
EHF23a-30	0.2704
EHF23a-31	0.2351
EHF23a-32	0.2100
EHF23a-33	0.2331
EHF23a-34	0.2140
EHF23a-35	0.2163
EHF23a-36	0.1844
EHF23a-37	0.2090
EHF23a-38	0.2084
EHF23a-39	0.2424
EHF23a-3	0.3362
EHF23a-40	0.2196
EHF23a-41	0.1197
EHF23a-42	0.1598
EHF23a-4	0.1747
EHF23a-5	0.1750
EHF23a-6	0.2132
EHF23a-7	0.2507
EHF23a-8	0.2569
EHF23a-9	0.1917
FEC0423-001s	0.4154
FEC0423-002s	0.2288
FEC0423-003s	0.4655
FEC0423-004s	0.2304
FEC0423-005s	0.2058
FEC0423-006s	0.2693
FEC0423-007s	0.1855
FEC0423-008s	0.3801
FEC0423-009s	0.2017
FEC0423-010s	0.2028
FEC0423-011s	0.1954
FEC0423-012s	0.2075
FEC0423-013s	0.2064
FEC0423-014s	0.3599
FEC0423-015s	0.2126
FEC0423-016s	0.1958
FEC0423-017s	0.2594
FEC0423-018s	0.3270
FEC0423-019s	0.2749
FEC0423-020s	0.2202
FEC0423-021s	0.2342
FEC0423-022s	0.2207
FEC0423-023s	0.2752
FEC0423-024s	0.2431
FEC0423-025s	0.2651
FEC0423-026s	0.2405
FEC0423-027s	0.1903
FEC0423-028s	0.1827
FEC0423-029s	0.2358
FEC0423-030s	0.2368
FEC0423-031s	0.2395
FEC0423-032s	0.2399
FEC0423-033s	0.2422
FEC0423-034s	0.2281
FEC0423-035s	0.1657
FEC0423-036s	0.2342
FEC0423-037s	0.2311
FEC0423-038s	0.2355
FEC0423-039s	0.2111
FEC0423-040s	0.2902
FEC0423-041s	0.4313
FEC0423-042s	0.2252
FEC0423-043s	0.2061
FEC0423-044s	0.2328
FEC0423-045s	0.2503
FEC0423-046s	0.1756
FEC0423-047s	0.2869
FEC0423-048s	0.2879
FEC0423-049s	0.2860
FEC0423-050s	0.1671
FEC23a-10	0.3061
FEC23a-11	0.2311
FEC23a-12	0.1998
FEC23a-29	0.2532
FEC23a-30	0.2157
FEC23a-31	0.4814
FEC23a-32	0.3017
FEC23a-33	0.1767
FEC23a-34	0.2849
FEC23a-35	0.1521
FEC23a-36	0.2266
FEC23a-37	0.2351
FEC23a-38	0.3747
FEC23a-39	0.2231
FEC23a-40	0.1267
FEC23a-41	0.2705
FEC23a-42	0.1018
FEC23a-43	0.2007
FEC23a-44	0.1821
FEC23a-45	0.2307
FEC23a-46	0.2156
FEC23a-47	0.1758
FEC23a-48	0.1636
FEC23a-49	0.2076
FEC23a-50	0.2714
FEC23a-51	0.1723
FEC23a-52	0.1643
